model,eval_country,gps_dimension,z,bias_base,bias_adapter,movement,shrunk,z_aligned
JPN_adapter,JPN,patience,0.108412586,-0.3064724287512499,-0.4005697023434888,-0.0940972735922389,False,False
JPN_adapter,JPN,posrecip,-0.23702188,-0.4966998531680228,-0.2928083759576582,0.2038914772103646,True,False
JPN_adapter,JPN,risktaking,-0.3558383,1.7567316879567774,1.6018741671648995,-0.15485752079187787,True,True
JPN_adapter,JPN,trust,-0.5187299,-0.3359009774833523,-0.0017217545666083727,0.3341792229167439,True,False
RUS_adapter,RUS,altruism,-0.06924083,1.0342151813891152,-0.02885496846616033,-1.0630701498552755,True,True
RUS_adapter,RUS,negrecip,-0.15547128,-0.5169162840418955,-0.8680222499623287,-0.3511059659204332,False,True
RUS_adapter,RUS,patience,-0.07527795,-0.15298458056750214,-0.22518107567462364,-0.0721964951071215,False,True
RUS_adapter,RUS,posrecip,-0.09340507,-0.4492159452911274,-0.13455280276817594,0.31466314252295147,True,False
RUS_adapter,RUS,risktaking,-0.3233624,-0.03496437711688616,-0.2055800169903821,-0.17061563987349593,False,True
RUS_adapter,RUS,trust,-0.15077487,-0.26886783715829315,0.06663318509324478,0.33550102225153794,True,False
MEX_adapter,MEX,altruism,-0.8130887,0.8053730584166701,-0.20683242257469822,-1.0122054809913683,True,True
MEX_adapter,MEX,negrecip,-0.11464946,-0.5581656189797108,-0.5070857483684316,0.05107987061127928,True,False
MEX_adapter,MEX,patience,-0.108428106,-0.5036597003363487,-0.5528506457568425,-0.04919094542049385,False,True
MEX_adapter,MEX,posrecip,-1.0379812,-0.4301954291616513,-0.2651339829790593,0.165061446182592,True,False
MEX_adapter,MEX,risktaking,-0.13891679,0.4728248082546471,0.3895689479608815,-0.08325586029376564,True,True
MEX_adapter,MEX,trust,-0.3570721,-0.6704703868290752,-0.4698387341895987,0.20063165263947652,True,False
USA_adapter,USA,altruism,0.40642887,0.719019485872189,0.830496980518169,0.11147749464598,False,True
USA_adapter,USA,negrecip,0.011553643,-0.2856351875784077,1.7873078368379145,2.0729430244163223,False,True
USA_adapter,USA,patience,0.81126213,-0.322813525766376,-0.2884923223800713,0.03432120338630473,True,True
USA_adapter,USA,posrecip,0.20365003,-0.26560298446840047,-0.26291886901877903,0.002684115449621438,True,True
USA_adapter,USA,risktaking,0.1165868,1.8147848750273237,1.8089622906851548,-0.005822584342168868,True,False
USA_adapter,USA,trust,0.15036696,-0.1784959381107182,-0.22628667172280045,-0.04779073361208225,False,False
