model,eval_country,question_id,n_options,tv_distance,js_divergence,entropy_error,std_error,mean_error,top_option_match
USA_adapter,USA,Q71,4,0.3747980267389024,0.2194533455190375,-0.8360852514965551,-0.4266458631976625,-0.37331256632927134,0.0
USA_adapter,USA,Q73,4,0.5711734172586365,0.3176926764663165,-0.5169430806084712,-0.20273112252988607,-0.7788395195406808,0.0
USA_adapter,USA,Q81,4,0.3968701010512012,0.15532666000104184,-1.0905161847061735,-0.4383307542218874,-0.2346372022815486,1.0
USA_adapter,USA,Q99,3,0.7558596499457721,0.48786680829279233,0.2353577643430369,-0.015262543942471507,0.9833409208365764,0.0
base,ARG,Q101,3,0.6428185775609163,0.35344305503938134,0.9653306141732139,0.4200445387482783,1.0968664003497364,0.0
base,ARG,Q103,3,0.3253700091436681,0.13539530920799692,0.936098266823423,0.5471183198979219,0.566791253945937,1.0
base,ARG,Q106,10,0.5736677849063303,0.35595140232754774,-1.491692077131278,-1.9686473979452792,-0.10331706096395621,0.0
base,ARG,Q107,10,0.2594887612980534,0.09681928644473065,-0.5159817766188985,-0.8072935465044246,-0.398831384223989,1.0
base,ARG,Q109,10,0.5071766776615217,0.2761386966221575,-1.2639185732085896,-1.7016780265434814,0.3496694433286489,1.0
base,ARG,Q174,2,0.13502885573191212,0.05754955005721989,-0.528803699624462,-0.2651166734611163,0.13502885573191215,1.0
base,ARG,Q176,10,0.4867504819665922,0.27775405628373306,-1.1553211909962342,-1.7110684167837547,-0.07026564466136342,0.0
base,ARG,Q177,10,0.47190959342100397,0.20584617081639672,-1.7821864253348259,-1.4506666073474008,-2.669439379554345,1.0
base,ARG,Q178,10,0.5831580740018473,0.36424757780662054,0.14778026763970376,-0.953575457796175,2.9473648234506675,0.0
base,ARG,Q179,10,0.11792853991399004,0.02994764794260102,-0.4829474999633733,-0.09259217582662305,-0.23271499551879282,1.0
base,ARG,Q195,10,0.6535614736282722,0.4366509142652236,-0.05080925379888779,-1.667110514586051,2.396745964871626,0.0
base,ARG,Q260,2,0.0408818516760322,0.001214416002811889,-0.009874796515062845,-0.0034273113629070817,0.04088185167603209,1.0
base,ARG,Q275,9,0.9392612204393284,0.8215833292135197,-1.6740433895253122,-0.9859840746488969,3.646261413328253,0.0
base,ARG,Q288,10,0.3985953076569361,0.1872123735690629,-0.8882454350704643,-0.7283118894333904,0.9751680636309388,0.0
base,ARG,Q43,3,0.7010827426968069,0.431640810259272,-0.8660880768065904,-0.4709341773824199,-0.4943221941615601,0.0
base,ARG,Q50,10,0.5851054496615018,0.3662527464888272,-1.751998951243522,-1.8228306552332858,0.47574888252573366,0.0
base,ARG,Q57,2,0.06789831484948781,0.004637463381488426,0.11593212916082651,0.042629233091070695,-0.06789831484948805,1.0
base,ARG,Q58,4,0.4191721372721566,0.15627017293175907,0.399999640563676,0.08980997881824004,0.38864581850807944,0.0
base,ARG,Q59,4,0.39638973489091506,0.1523378375738555,-1.0943676011426615,-0.4752902953308833,0.019813844571695327,1.0
base,ARG,Q60,4,0.30208891345196,0.12010532472353502,-0.9086570766240157,-0.4023829276945462,-0.15203875521818522,1.0
base,ARG,Q61,4,0.5960992330561142,0.31447484012154736,-1.1342458952368544,-0.4783555907902028,-0.7545582084413192,0.0
base,ARG,Q62,4,0.4939072884289635,0.24834402688615662,-1.501611918233115,-0.666619559477262,-0.3409589318151931,1.0
base,ARG,Q63,4,0.460572344907406,0.21084930865779605,-1.3336466898853083,-0.592997195821502,-0.4060754772623092,1.0
base,ARG,Q64,4,0.2121329224488949,0.051186284230624504,-0.4049202600285051,-0.2700392861033797,-0.05370924463387583,1.0
base,ARG,Q69,4,0.4662555853912109,0.23394241919324346,-0.6688990069823229,-0.3402318686160394,-0.7321869665460832,0.0
base,ARG,Q70,4,0.5456226181174482,0.3168731016550038,-0.5151828650518997,-0.25882096464989035,-0.941674353008755,0.0
base,ARG,Q71,4,0.350086782483661,0.18636055262727896,-0.7945668797311913,-0.3854194525599942,-0.267196763425396,1.0
base,ARG,Q73,4,0.3387205196787164,0.19199139395783726,-0.37887927327195636,-0.19904690345788045,-0.6466795527250273,0.0
base,ARG,Q81,4,0.3118998900935246,0.0996939319296987,-0.8313969503789065,-0.4008629282244661,-0.11990451065157703,1.0
base,ARG,Q99,3,0.7016605913642477,0.4341128305844206,1.0277054960260008,0.4976267814667333,1.244727360802866,0.0
base,BRA,Q101,3,0.650885834917097,0.34499914793258424,0.9659634662724881,0.30318403203135025,1.060210621946177,0.0
base,BRA,Q103,3,0.32809212500228296,0.116119290235262,0.905086799497755,0.4156768847917139,0.5393633629445851,1.0
base,BRA,Q106,10,0.6713943034073249,0.47018598639467274,-1.0783638104405453,-2.6388704395919125,0.33035734744802703,0.0
base,BRA,Q107,10,0.49186972931017625,0.3081568453319684,-0.1008571281768873,-1.677922328937621,0.697806907217708,0.0
base,BRA,Q109,10,0.6850636531984211,0.47551324356646923,-0.5869911257632585,-2.2176682930674705,1.4243564043658279,0.0
base,BRA,Q174,2,0.09419270820592889,0.037234422803100964,-0.41319243410441286,-0.21890226219731707,0.09419270820592884,1.0
base,BRA,Q176,10,0.5233913112340676,0.3194268937205348,-0.7937732114998792,-1.8231506295686257,1.361807831236848,0.0
base,BRA,Q177,10,0.14246516135080498,0.04835435512279389,-0.38446188473526344,-0.5749147079471912,-0.4984881425344301,1.0
base,BRA,Q178,10,0.6450423328603784,0.46401835207240844,0.31448409382054887,-1.6118739945465328,2.4429369037205673,0.0
base,BRA,Q179,10,0.03949338345977367,0.01371472190606791,0.043993579174467,0.043225616691661584,0.07123851659947489,1.0
base,BRA,Q195,10,0.6797225034854087,0.48960390175750457,-0.14045778094363381,-2.289526102100882,1.392313037658905,0.0
base,BRA,Q260,2,0.03644229343312064,0.000965662296601574,-0.00927191486904333,-0.003218290673053237,0.03644229343312033,1.0
base,BRA,Q275,9,0.8294808670032836,0.6307305100161854,-1.5371059065216248,-1.2012176825169203,3.1980017302290302,0.0
