country,item,mean,n
JPN,Q58,3.6986506746626686,1334
JPN,Q59,2.646215139442231,1255
JPN,Q60,2.9793735676088615,1309
JPN,Q61,1.8674588665447898,1094
JPN,Q62,1.9491525423728813,826
JPN,Q63,2.1025641025641026,819
JPN,Q64,1.6533333333333333,1200
JPN,Q73,2.2378199834847234,1211
JPN,Q43,2.4653760238272526,1343
JPN,Q50,6.0863254392666155,1309
JPN,Q106,5.356303837118246,1277
JPN,Q107,4.007936507936508,1134
JPN,Q109,4.570866141732283,1270
JPN,Q178,1.3237951807228916,1328
JPN,Q81,2.304889741131352,1043
JPN,Q176,4.466037735849056,1060
JPN,Q177,9.236882716049383,1296
JPN,Q179,9.893233082706766,1330
JPN,Q195,6.801646090534979,1215
JPN,Q99,0.017964071856287425,1336
JPN,Q101,0.04491017964071856,1336
JPN,Q103,0.060719640179910044,1334
JPN,Q69,2.9662317728319265,1303
JPN,Q70,3.0381493506493507,1232
JPN,Q71,2.35880933226066,1243
KAZ,Q57,0.23891625615763548,1218
KAZ,Q58,3.850980392156863,1275
KAZ,Q59,2.8113654301499604,1267
KAZ,Q60,2.8132911392405062,1264
KAZ,Q61,1.8386327503974562,1258
KAZ,Q62,2.261744966442953,1192
KAZ,Q63,2.361952861952862,1188
KAZ,Q64,3.190135242641209,1257
KAZ,Q73,2.8193548387096774,1240
KAZ,Q43,1.8257575757575757,1188
KAZ,Q50,6.147736298649722,1259
KAZ,Q106,7.330128205128205,1248
KAZ,Q107,5.777317880794702,1208
KAZ,Q109,4.631792376317923,1233
KAZ,Q178,4.280971659919028,1235
KAZ,Q81,2.7860780984719864,1178
KAZ,Q176,5.422185430463577,1208
KAZ,Q177,7.597002497918401,1201
KAZ,Q179,8.807941653160453,1234
KAZ,Q195,3.484320557491289,1148
KAZ,Q99,0.048494983277591976,1196
KAZ,Q101,0.10862354892205639,1206
KAZ,Q103,0.06260575296108291,1182
KAZ,Q69,2.7888888888888888,1260
KAZ,Q70,2.7693535514764567,1253
KAZ,Q71,2.8854166666666665,1248
KEN,Q57,0.09584664536741214,1252
KEN,Q58,3.752577319587629,1261
KEN,Q59,2.706677265500795,1258
KEN,Q60,2.8369132856006365,1257
KEN,Q61,1.91207034372502,1251
KEN,Q62,2.388709677419355,1240
KEN,Q63,2.1248992747784046,1241
KEN,Q64,3.3545310015898253,1258
KEN,Q73,2.243941841680129,1238
KEN,Q43,2.07741935483871,1240
KEN,Q50,4.876190476190477,1260
KEN,Q106,6.373906125696102,1257
KEN,Q107,4.910898965791567,1257
KEN,Q109,3.5865921787709496,1253
KEN,Q178,3.5831973898858074,1226
KEN,Q81,2.933010492332526,1239
KEN,Q176,4.842696629213483,1246
KEN,Q177,7.683656957928803,1236
KEN,Q179,8.082448979591836,1225
KEN,Q195,3.6514900662251657,1208
KEN,Q99,0.571072319201995,1203
KEN,Q101,0.5926229508196721,1220
KEN,Q103,1.0213991769547326,1215
KEN,Q69,2.2211538461538463,1248
KEN,Q70,2.5484387510008006,1249
KEN,Q71,2.4308681672025725,1244
KOR,Q57,0.3293172690763052,1245
KOR,Q58,3.7951807228915664,1245
KOR,Q59,2.9028112449799197,1245
KOR,Q60,2.921285140562249,1245
KOR,Q61,1.9622489959839358,1245
KOR,Q62,2.117269076305221,1245
KOR,Q63,1.97429718875502,1245
KOR,Q64,2.5526104417670683,1245
KOR,Q73,1.9598393574297188,1245
KOR,Q43,2.091566265060241,1245
KOR,Q50,6.081927710843374,1245
KOR,Q106,6.660240963855422,1245
KOR,Q107,5.682730923694779,1245
KOR,Q109,4.743775100401606,1245
KOR,Q178,2.970281124497992,1245
KOR,Q81,2.6329317269076307,1245
KOR,Q176,5.499598393574297,1245
KOR,Q177,7.7646586345381525,1245
KOR,Q179,8.785542168674699,1245
KOR,Q195,4.339759036144578,1245
KOR,Q99,0.06666666666666667,1245
KOR,Q101,0.0642570281124498,1245
KOR,Q103,0.3140562248995984,1245
KOR,Q69,2.5734939759036144,1245
KOR,Q70,2.623293172690763,1245
KOR,Q71,2.47710843373494,1245
MAR,Q57,0.165,1200
MAR,Q58,3.5775,1200
MAR,Q59,2.674166666666667,1200
MAR,Q60,2.7241666666666666,1200
MAR,Q61,2.03,1200
MAR,Q62,2.0933333333333333,1200
MAR,Q63,2.089166666666667,1200
MAR,Q64,2.8916666666666666,1200
MAR,Q73,1.96,1200
MAR,Q43,2.4433333333333334,1200
MAR,Q50,6.238333333333333,1200
MAR,Q106,6.44,1200
MAR,Q107,5.5675,1200
MAR,Q109,3.6041666666666665,1200
MAR,Q178,3.13,1200
MAR,Q81,2.388333333333333,1200
MAR,Q176,4.716666666666667,1200
MAR,Q177,7.3225,1200
MAR,Q179,8.484166666666667,1200
MAR,Q195,4.303333333333334,1200
MAR,Q99,0.26,1200
MAR,Q101,0.3625,1200
MAR,Q103,0.27166666666666667,1200
MAR,Q69,2.5025,1200
MAR,Q70,2.3091666666666666,1200
MAR,Q71,1.9825,1200
MEX,Q57,0.10505278077557821,1738
MEX,Q58,3.640320707097211,1741
MEX,Q59,2.4864701149004502,1738
MEX,Q60,2.364404466847247,1740
MEX,Q61,1.587599049228223,1740
MEX,Q62,2.0281082846154117,1721
MEX,Q63,1.8257318766150108,1719
MEX,Q64,2.8294306281174717,1736
MEX,Q73,1.6258339073362114,1720
MEX,Q43,2.0555824152940967,1734
MEX,Q50,6.827444170493636,1740
MEX,Q106,5.74333733206103,1728
MEX,Q107,5.830291887727623,1670
MEX,Q109,4.412240698438902,1729
MEX,Q178,4.283334055060891,1721
MEX,Q81,2.4042023977029583,1691
MEX,Q176,5.9303333887640886,1724
MEX,Q177,6.321352188037802,1719
MEX,Q179,8.656109983341564,1733
MEX,Q195,3.6542251134973647,1712
MEX,Q99,0.2115174206912093,1738
MEX,Q101,0.251913454697336,1738
MEX,Q103,0.2611472920464171,1740
MEX,Q69,1.8078962073319644,1737
MEX,Q70,1.8323388095340933,1717
MEX,Q71,1.679490388211662,1738
NGA,Q57,0.13082932275485248,1230
NGA,Q58,3.4699643280329635,1234
NGA,Q59,2.698991556752044,1235
NGA,Q60,2.6583198747453345,1236
NGA,Q61,1.973918322736949,1235
NGA,Q62,2.2895358448187175,1231
NGA,Q63,2.0735435141347702,1231
NGA,Q64,3.5561035064894884,1235
