iso3,year,gdp_pc_ppp,gini,agri_empl
DMA,2015,16920.9126555668,,
DMA,2016,17364.0773046793,,
DMA,2017,16314.2295558891,,
DMA,2018,16877.1244880642,,
DMA,2019,17619.4335416769,,
DNK,2015,62059.1285991721,28.2,2.49157664462381
DNK,2016,63468.9888246814,28.2,2.33416183454597
DNK,2017,64989.4459872347,28.7,2.11062002904543
DNK,2018,65870.8302554341,28.2,2.19166349414525
DNK,2019,66758.6323346131,27.7,2.2229608691021
DOM,2015,17973.1870256815,45.2,9.82435526376711
DOM,2016,18968.9752386179,45.7,9.02419759583515
DOM,2017,19501.8743054078,42.2,9.68324486511844
DOM,2018,20662.848586153,43.7,9.43535056308272
DOM,2019,21451.286441995,41.9,8.88331377266102
DZA,2015,15239.5171456469,,8.85097701569207
DZA,2016,15511.6858768094,,8.53615172319933
DZA,2017,15427.6641894713,,10.161292398435
DZA,2018,15343.4261222434,,10.1104520348092
DZA,2019,15199.1989965639,,10.0053795846248
EAP,2015,13493.524313755,,30.6580745003375
EAP,2016,14243.7964258558,,29.6496460084162
EAP,2017,15060.2232906328,,28.895971341724
EAP,2018,15925.0623768718,,27.96212413788
EAP,2019,16754.1433686202,,26.9079551098935
EAR,2015,9461.90923467549,,36.5362172013578
EAR,2016,9809.61992015041,,35.7458921907665
EAR,2017,10168.9948852815,,34.9269513689361
EAR,2018,10473.9534525465,,34.0110938233308
EAR,2019,10646.4619363587,,33.5355736712971
EAS,2015,17242.0281854081,,27.8909792756297
EAS,2016,17975.4681423015,,26.9559989425853
EAS,2017,18809.5074896107,,26.2518559746081
EAS,2018,19664.4172118015,,25.3913872505743
EAS,2019,20432.9804270249,,24.4234724300681
ECA,2015,18721.7381996886,,22.5706873357553
ECA,2016,19031.7409328875,,22.0844849128285
ECA,2017,19877.8402506784,,21.7627592896175
ECA,2018,20447.4402502475,,21.0926080489948
ECA,2019,20830.979013781,,20.4887369534442
ECS,2015,38753.9033161838,,8.88949070629167
ECS,2016,39278.9171415545,,8.66772611105401
ECS,2017,40335.4288573608,,8.39117535473097
ECS,2018,41177.7339574417,,8.13903676533894
ECS,2019,41861.0781841263,,7.9096889512149
ECU,2015,13881.5700738105,46.0,27.3171938571813
ECU,2016,13586.5160772568,45.0,28.0593781990725
ECU,2017,14179.1537503305,44.7,28.8156213481919
ECU,2018,14083.5069982304,45.4,29.9612138057394
ECU,2019,13870.4895118068,45.7,30.8610652741592
